CLAVE UR,SERIE,BN CARTA,BN OFICIO,BN DC,COLOR CARTA,COLOR OFICIO,ENVIAR,COPIAR
UR-00D,CNBRP28910,0,0,0,0,0,0,0
UR-00D,CNBRP28913,0,0,0,0,0,0,0
UR-00D,CNBRP28917,0,0,0,0,0,0,0
UR-00D,CNBRP2891G,0,0,0,0,0,0,0
UR-00D,CNBRP2891P,0,0,0,0,0,0,0
UR-00D,CNBRP2891R,0,0,0,0,0,0,0
UR-00D,CNBRP28924,0,0,0,0,0,0,0
UR-N00,CNBRP28929,2468,0,0,0,0,1140,326
UR-00D,CNBRP2892D,0,0,0,0,0,0,0
UR-00D,CNBRP2892M,0,0,0,0,0,0,0
UR-611,CNBRP2892N,222,0,0,0,0,143,23
UR-114,CNBRP2892V,11,0,0,0,0,0,0
UR-00D,CNBRP28933,0,0,0,0,0,0,0
UR-600,CNBRP28939,1717,0,0,0,0,1728,192
UR-210,CNBRP2893D,31,0,0,0,0,19,6
UR-00D,CNBRP2893K,0,0,0,0,0,0,0
UR-00D,CNBRP2893R,0,0,0,0,0,0,0
UR-00D,CNBRP28942,0,0,0,0,0,0,0
UR-00D,CNBRP28946,0,0,0,0,0,0,0
UR-310,CNBRP2894N,780,0,0,0,0,42,158
UR-312,CNBRP2894X,736,0,0,0,0,0,3
UR-N00,CNBRP2894Y,2480,15,0,0,0,16,192
UR-00D,CNBRP28952,0,0,0,0,0,0,0
UR-00D,CNBRP28954,0,0,0,0,0,0,0
UR-211,CNBRP2895B,36,0,0,0,0,0,9
UR-00D,CNBRP2895H,0,0,0,0,0,0,0
UR-00D,CNBRP2895M,0,0,0,0,0,0,0
UR-311,CNBRP2895S,4,0,0,0,0,1,0
UR-200,CNBRP28960,225,0,0,0,0,52,39
UR-K00,CNBRP28964,1241,0,0,0,0,394,406
UR-00D,CNBRP28967,0,0,0,0,0,0,0
UR-114,CNBRP2896C,40,0,0,0,0,2,7
UR-00D,CNBRP2896G,0,0,0,0,0,0,0
UR-00D,CNBRP2896M,0,0,0,0,0,0,0
UR-600,CNBRP2896Q,1097,0,0,0,0,7426,162
UR-00D,CNBRP2896V,0,0,0,0,0,0,0
UR-611,CNBRP28970,424,0,0,0,0,80,225
UR-00D,CNBRP28974,0,0,0,0,0,0,0
UR-00D,CNC1N5P04M,0,0,0,0,0,0,0
UR-00D,CNC1N6J039,0,0,0,0,0,0,0
UR-712,CNMCM6D18K,4488,0,0,0,0,0,0
UR-00D,CNMCM6D1KL,0,0,0,0,0,0,0
UR-00D,CNNCLAN908,0,0,0,0,0,0,0
UR-00D,CNNCNCQ1KR,0,0,0,0,0,0,0
UR-00D,CNNCP3C0S8,0,0,0,0,0,0,0
UR-00D,CNNCP3C0XV,0,0,0,0,0,0,0
UR-00D,CNNCP3C0XW,0,0,0,0,0,0,0
